time, p0, p1, p2, p3
62662884863, [365.48346 180.18509], [373.82874 179.74585], [375.779   216.80109], [367.43372 217.24033]
63149322368, [373.4254  179.08289], [382.61047 178.59946], [384.57178 215.86465], [375.38672 216.34808]
63226510333, [364.86804 179.1523 ], [387.18274 177.5584 ], [389.9137  215.79189], [367.599   217.38579]
63292277564, [371.16928 178.35384], [388.40005 176.2    ], [393.30777 215.46153], [376.077   217.61537]
63361191974, [381.2 194.6], [382. 193.], [386.40002 195.20001], [385.60004 196.80002]
63426059963, [375.3507  177.31384], [390.41534 176.47693], [392.59998 215.79999], [377.53534 216.6369 ]
63491477043, [368.43396 177.6783 ], [388.8828  176.65587], [390.86285 216.25688], [370.414   217.27931]
63559496359, [375.35864 179.09656], [384.56207 178.55518], [386.7552  215.83792], [377.55176 216.3793 ]
63625195086, [368.50876 179.17458], [377.63596 178.71822], [379.54117 216.82295], [370.41397 217.27931]
63690298331, [360. 181.], [369. 181.], [369. 217.], [360. 217.]
63757793559, [350. 181.], [358. 181.], [358. 218.], [350. 218.]
63822301582, [320. 181.], [328. 181.], [328. 218.], [320. 218.]
63886602869, [313.07245 217.76898], [315.31036 179.72415], [338.7 181.1], [336.4621  219.14484]
63962768159, [311. 179.], [328. 179.], [328. 218.], [311. 218.]
64061239606, [311. 179.], [322. 179.], [322. 218.], [311. 218.]
64162827305, [311. 179.], [323. 179.], [323. 218.], [311. 218.]
64260329266, [311. 179.], [329. 179.], [329. 218.], [311. 218.]
64360453929, [314. 180.], [337. 180.], [337. 218.], [314. 218.]
64460803568, [320. 181.], [329. 181.], [329. 218.], [320. 218.]
64561382000, [350. 181.], [359. 181.], [359. 218.], [350. 218.]
64662289860, [361. 181.], [370. 181.], [370. 217.], [361. 217.]
64760473530, [368.53314 180.12982], [377.6657  179.64917], [379.62152 216.80939], [370.48895 217.29004]
64860569598, [375.35864 179.09656], [384.56207 178.55518], [386.7552  215.83792], [377.55176 216.3793 ]
64961461920, [367.59308 179.11725], [387.86896 177.42758], [391.06207 215.74484], [370.7862  217.43451]
65061368125, [375.40308 178.25537], [389.52612 177.47076], [391.65845 215.8523 ], [377.5354 216.6369]
65162686734, [380. 185.], [380. 180.], [384. 180.], [384. 185.]
65260637947, [372.4475  178.50276], [389.61047 177.59944], [391.62427 215.86186], [374.4613  216.76518]
65360334232, [363.868   179.15228], [387.03555 177.49747], [389.77158 215.80203], [366.60403 217.45685]
65461228111, [356. 181.], [365. 181.], [365. 218.], [356. 218.]
65561497580, [366. 217.], [366. 180.], [375. 180.], [375. 217.]
65662119683, [356. 181.], [365. 181.], [365. 218.], [356. 218.]
65760680878, [325. 181.], [333. 181.], [333. 218.], [325. 218.]
65860802412, [315.9918 217.5781], [319.9808  179.68219], [328.56985 180.5863 ], [324.58084 218.48221]
65960595537, [312. 180.], [333. 180.], [333. 218.], [312. 218.]
66061221400, [309.17075 217.46344], [313.48782 178.60977], [329.18295 180.35367], [324.86588 219.20734]
66260400515, [309.17075 217.46344], [313.48782 178.60977], [328.3049 180.2561], [323.98782 219.10977]
66363542462, [312. 180.], [332. 180.], [332. 218.], [312. 218.]
66461989263, [317. 180.], [325. 180.], [325. 217.], [317. 217.]
66562036757, [324. 181.], [332. 181.], [332. 218.], [324. 218.]
66663155373, [355. 181.], [363. 181.], [363. 218.], [355. 218.]
66786194530, [364. 217.], [364. 180.], [373. 180.], [373. 217.]
66862565355, [371.5769 179.1154], [380.74658 178.67876], [382.5656  216.87785], [373.39594 217.3145 ]
66960858220, [361.277   180.21538], [384.66165 177.29231], [389.44626 215.56923], [366.0616 218.4923]
67061273719, [371.61237 178.47217], [389.7567  177.64743], [391.52167 216.47629], [373.37732 217.30103]
67164590697, [378. 177.], [390. 177.], [390. 216.], [378. 216.]
67261588853, [374.52435 177.71951], [387.80487 176.2439 ], [392.2683  216.41464], [378.9878  217.89026]
67363025380, [369.63016 177.49432], [389.0283  176.65094], [390.75662 216.40189], [371.3585  217.24527]
67462314920, [375.48233 178.23454], [384.50888 177.63277], [387.05753 215.86284], [378.03098 216.46461]
67562651915, [369.70187 179.1434 ], [378.8151  178.74716], [380.4717  216.84906], [371.3585 217.2453]
67663502145, [362. 217.], [362. 180.], [370. 180.], [370. 217.]
67760283121, [352. 181.], [360. 181.], [360. 218.], [352. 218.]
67860114177, [322. 181.], [330. 181.], [330. 218.], [322. 218.]
67960885347, [314.08496 216.69318], [318.03015 179.21371], [342.07947 181.74521], [338.13428 219.22467]
68061025497, [312. 180.], [330. 180.], [330. 218.], [312. 218.]
68162531585, [309.94058 217.59407], [313.75247 179.47527], [326.1287  180.71288], [322.3168  218.83168]
68260113556, [313.78235 181.1706 ], [319.97644 180.69412], [321.2235  196.90588], [315.02942 197.38235]
68360517149, [311. 179.], [328. 179.], [328. 218.], [311. 218.]
68461181610, [314. 180.], [336. 180.], [336. 218.], [314. 218.]
68561776660, [320. 218.], [320. 180.], [328. 180.], [328. 218.]
68662214495, [348. 181.], [357. 181.], [357. 218.], [348. 218.]
68760471528, [359. 181.], [367. 181.], [367. 217.], [359. 217.]
68860443946, [348. 181.], [357. 181.], [357. 218.], [348. 218.]
68960929192, [372.3077  179.46153], [381.53848 178.3077 ], [386.20004 215.59999], [376.96927 216.75383]
69061361454, [366.4861  178.75076], [387.58768 177.57846], [389.71384 215.84924], [368.61227 217.02155]
69162912102, [372.6585  178.92685], [387.9146  177.23172], [392.18292 215.64636], [376.92682 217.34149]
69360404490, [373.5187  178.37407], [389.62845 177.56859], [391.5262 215.5237], [375.41647 216.32918]
69461120104, [363.75998 180.32   ], [385.17996 177.26001], [390.65994 215.62   ], [369.23996 218.68   ]
69561538217, [373.48068 179.13258], [382.61325 178.65193], [384.5718  215.86464], [375.43924 216.34529]
69662201754, [367. 180.], [376. 180.], [376. 217.], [367. 217.]
69760778937, [358. 217.], [358. 180.], [366. 180.], [366. 217.]
69860572808, [346.86115 181.11212], [355.20764 180.81403], [356.56433 218.80127], [348.21783 219.09937]
69961560810, [319. 181.], [327. 181.], [327. 218.], [319. 218.]
70061547212, [314. 180.], [335. 180.], [335. 218.], [314. 218.]
70163025856, [311. 179.], [327. 179.], [327. 218.], [311. 218.]
